State,Provider,Year,Section,Bucket,Group,Subgroup,Line Item,Quarter,Value,Type
FL,"Miami-Dade Fire Rescue",2024,Revenues,"Medicare","MTS",Dedicated,"Logistics",Full Year,3691656.35,Forecast
FL,"Hillsborough County Fire Rescue",2024,Totals,"Salaries","Capital Related",Dedicated,"Medicaid FFS",Full Year,52752657.81,Budget
FL,"Duval County Fire Rescue",2024,Allocation Statistics,"Medicaid Fee For Service Revenue from Transports","Administration and General",Shared,"Medicaid FFS",Qtr 3,23848971.94,Actual
FL,"Miami-Dade Fire Rescue",2024,Totals,"Totals","Administration and General",Dedicated,"Administrative",Qtr 2,830457,Forecast
FL,"Broward County Fire Rescue",2024,Revenues,"Totals","Salaries",Shared,"Property Taxes",Full Year,23223234,Actual
FL,"Orange County Fire Rescue",2024,Trips,"Medicaid Fee For Service Revenue from Transports","Salaries",Shared,"Leases and Rentals",Full Year,5723,Budget
FL,"Hillsborough County Fire Rescue",2024,Revenues,"Capital Related","MTS",Dedicated,"Logistics",Qtr 2,4494250.64,Actual
FL,"Palm Beach County Fire Rescue",2024,Totals,"Workers Comp","Capital Related",Shared,"Fines and Penalties",Qtr 3,947,Forecast
FL,"Pinellas County Fire Rescue",2024,Revenues,"Workers Comp","Administration and General",Shared,"Minor Equipment",Qtr 2,44682,Forecast
FL,"Palm Beach County Fire Rescue",2024,Trips,"Totals","Administration and General",Shared,"Fines and Penalties",Full Year,24019,Budget
FL,"Orange County Fire Rescue",2024,Revenues,"Medicaid MCO","MTS",Dedicated,"Medicaid FFS",Full Year,17817148.54,Budget
FL,"Orange County Fire Rescue",2024,Revenues,"Medicaid Fee For Service Revenue from Transports","Non-MTS",Dedicated,"Medicaid FFS",Qtr 4,49100286,Budget
FL,"Duval County Fire Rescue",2024,Allocation Statistics,"Medicaid MCO","Non-MTS",Dedicated,"Minor Equipment",Qtr 3,25479,Actual
FL,"Hillsborough County Fire Rescue",2024,Trips,"Capital Related","Salaries",Shared,"Training",Full Year,43328,Actual
FL,"Broward County Fire Rescue",2024,Revenues,"Medicaid Fee For Service Revenue from Transports","Non-MTS",Dedicated,"Leases and Rentals",Qtr 4,11390,Forecast
FL,"Orange County Fire Rescue",2024,Totals,"Medicaid MCO","Non-MTS",Shared,"All Trips",Qtr 2,15767563.24,Actual
FL,"Palm Beach County Fire Rescue",2024,Trips,"Medicaid Fee For Service Revenue from Transports","Administration and General",Dedicated,"Private Insurance",Qtr 2,3738018.47,Budget
FL,"Orange County Fire Rescue",2024,Revenues,"Medicaid Fee For Service Revenue from Transports","Administration and General",Shared,"Leases and Rentals",Qtr 3,10999,Budget
FL,"Orange County Fire Rescue",2024,Totals,"Totals","Administration and General",Dedicated,"Training",Qtr 4,29712,Budget
FL,"Broward County Fire Rescue",2024,Allocation Statistics,"Capital Related","Administration and General",Shared,"All Trips",Qtr 4,28247994,Budget
FL,"Orange County Fire Rescue",2024,Trips,"Totals","Non-MTS",Dedicated,"Minor Equipment",Qtr 4,40745,Forecast
FL,"Duval County Fire Rescue",2024,Trips,"Medicare","MTS",Dedicated,"All Trips",Qtr 2,25913038.39,Forecast
FL,"Hillsborough County Fire Rescue",2024,Trips,"Medicare","MTS",Dedicated,"Administrative",Qtr 4,1215898.94,Actual
FL,"Duval County Fire Rescue",2024,Trips,"Medicaid Fee For Service Revenue from Transports","Salaries",Shared,"All Trips",Qtr 1,22617524,Actual
FL,"Hillsborough County Fire Rescue",2024,Allocation Statistics,"Medicaid Fee For Service Revenue from Transports","MTS",Shared,"Leases and Rentals",Qtr 2,29171,Budget
FL,"Duval County Fire Rescue",2024,Allocation Statistics,"Medicaid Fee For Service Revenue from Transports","Capital Related",Shared,"Minor Equipment",Qtr 2,30309,Actual
FL,"Palm Beach County Fire Rescue",2024,Revenues,"Totals","Salaries",Dedicated,"Property Taxes",Qtr 3,57788091.35,Actual
FL,"Palm Beach County Fire Rescue",2024,Revenues,"Salaries","Non-MTS",Shared,"All Trips",Full Year,35555827,Budget
FL,"Duval County Fire Rescue",2024,Allocation Statistics,"Capital Related","Capital Related",Shared,"Minor Equipment",Qtr 3,26686,Budget
FL,"Miami-Dade Fire Rescue",2024,Revenues,"Medicaid Fee For Service Revenue from Transports","Non-MTS",Shared,"Leases and Rentals",Full Year,22858,Actual
FL,"Duval County Fire Rescue",2024,Totals,"Medicare","MTS",Shared,"Training",Qtr 1,6981,Forecast
FL,"Miami-Dade Fire Rescue",2024,Totals,"Medicare","Non-MTS",Shared,"Fines and Penalties",Qtr 2,5545,Actual
FL,"Hillsborough County Fire Rescue",2024,Revenues,"Medicaid Fee For Service Revenue from Transports","Non-MTS",Shared,"Medicare HMO",Qtr 3,57538965.98,Forecast
FL,"Broward County Fire Rescue",2024,Totals,"Salaries","MTS",Shared,"Administrative",Qtr 1,4227949.23,Forecast
FL,"Pinellas County Fire Rescue",2024,Revenues,"Medicaid MCO","Salaries",Shared,"Administrative",Qtr 1,682853.88,Forecast
FL,"Duval County Fire Rescue",2024,Trips,"Totals","Salaries",Dedicated,"Hours Logged for MTS Duty",Qtr 3,3643211.43,Actual
FL,"Broward County Fire Rescue",2024,Totals,"Medicaid MCO","Salaries",Dedicated,"Medicaid MTS Costs",Full Year,494879,Forecast
FL,"Pinellas County Fire Rescue",2024,Allocation Statistics,"Salaries","Capital Related",Dedicated,"All Trips",Qtr 2,59757440,Actual
FL,"Duval County Fire Rescue",2024,Totals,"Salaries","Administration and General",Shared,"Medicaid MTS Costs",Qtr 3,3150624,Actual
FL,"Palm Beach County Fire Rescue",2024,Allocation Statistics,"Capital Related","MTS",Shared,"Leases and Rentals",Full Year,18856,Actual
FL,"Broward County Fire Rescue",2024,Allocation Statistics,"Capital Related","MTS",Dedicated,"Private Insurance",Qtr 4,750707.19,Actual
